zip_code,offense_type,latitude,longitude
78704,CRIMINAL MISCHIEF,30.25734573,-97.75599186
78744,BURGLARY OF VEHICLE,30.21021375,-97.75381992
78723,THEFT,30.31593733,-97.69254006
78701,THEFT,30.26720834,-97.73854583
78702,THEFT,30.2586415,-97.7194911
78701,THEFT,30.26835472,-97.73743455
78753,THEFT,30.3391525,-97.69116892
78741,BURGLARY OF VEHICLE,30.24708096,-97.73201607
78701,BURGLARY OF VEHICLE,30.26560263,-97.74087977
78723,FAMILY DISTURBANCE,30.31427528,-97.70695864
78701,THEFT,30.26701898,-97.74495761
78704,BURGLARY OF VEHICLE,30.24669239,-97.74338002
78753,FAMILY DISTURBANCE,30.41482489,-97.66781719
78745,FAMILY DISTURBANCE,30.21549605,-97.79311792
78704,FAMILY DISTURBANCE,30.22826645,-97.74684498
78748,THEFT,30.14860941,-97.79410667
78753,ASSAULT W/INJURY-FAM/DATE VIOL,30.33817424,-97.68334783
78752,FAMILY DISTURBANCE,30.33186118,-97.68649848
78701,THEFT,30.26338078,-97.74457355
78723,ASSAULT W/INJURY-FAM/DATE VIOL,30.31066814,-97.68829704
78745,THEFT,30.20426213,-97.77397159
78753,ASSAULT W/INJURY-FAM/DATE VIOL,30.33669899,-97.70159197
78753,FAMILY DISTURBANCE,30.40784843,-97.67822767
78744,ASSAULT W/INJURY-FAM/DATE VIOL,30.19754361,-97.7608199
78753,FAMILY DISTURBANCE,30.35225082,-97.69282075
78702,ASSAULT W/INJURY-FAM/DATE VIOL,30.25127792,-97.72714153
78704,THEFT,30.24300967,-97.74909829
78744,FAMILY DISTURBANCE,30.16358782,-97.77878351
78701,CRIMINAL MISCHIEF,30.26643427,-97.73794245
78741,FAMILY DISTURBANCE,30.22863192,-97.70615517
78702,FAMILY DISTURBANCE,30.25478749,-97.72336547
78741,CRIMINAL MISCHIEF,30.23265705,-97.72465719
78741,BURGLARY OF VEHICLE,30.2334422,-97.72701787
78752,FAMILY DISTURBANCE,30.32573466,-97.68909512
78741,FAMILY DISTURBANCE,30.23258831,-97.72209348
78745,CRIMINAL MISCHIEF,30.21286548,-97.80598046
78757,BURGLARY OF VEHICLE,30.36694207,-97.7284025
78741,ASSAULT W/INJURY-FAM/DATE VIOL,30.2309895,-97.70564444
78744,THEFT,30.19132348,-97.76951152
78744,CRIMINAL MISCHIEF,30.19552607,-97.76636052
78701,ASSAULT W/INJURY-FAM/DATE VIOL,30.27060026,-97.73424041
78753,CRIMINAL MISCHIEF,30.3863699,-97.66374676
78704,CRIMINAL MISCHIEF,30.24559738,-97.7674148
78745,CRIMINAL MISCHIEF,30.20981692,-97.78634511
78744,FAMILY DISTURBANCE,30.19501123,-97.73985794
78702,CRIMINAL MISCHIEF,30.2550847,-97.7314868
78744,FAMILY DISTURBANCE,30.1762486,-97.77898062
78744,THEFT,30.2004414,-97.75024963
78741,ASSAULT W/INJURY-FAM/DATE VIOL,30.22437599,-97.74486522
78744,CRIMINAL MISCHIEF,30.1958064,-97.74259115
